id,text,label
1,Policy 1 enhances patient safety standards.,1
2,"Policy 2 supports telehealth services, improving access for rural areas.",1
3,"Policy 3 has several gaps, leading to inadequate healthcare access.",0
4,Policy 4 enhances patient safety standards.,1
5,Policy 5 has been criticized for not considering diverse community needs.,0
6,Policy 6 has been criticized for not considering diverse community needs.,0
7,Policy 7 does not provide enough resources for hospitals.,0
8,Policy 8 expands mental health services for underserved communities.,1
9,"Policy 9 supports telehealth services, improving access for rural areas.",1
10,Policy 10 has been criticized for not considering diverse community needs.,0
11,Policy 11 improves public health by increasing funding for vaccinations.,1
12,"Policy 12 promotes preventative care, aiming to reduce chronic disease rates.",1
13,Policy 13 expands mental health services for underserved communities.,1
14,Policy 14 does not provide enough resources for hospitals.,0
15,Policy 15 fails to address the mental health crisis effectively.,0
16,"Policy 16 has several gaps, leading to inadequate healthcare access.",0
17,Policy 17 has been criticized for not considering diverse community needs.,0
18,Policy 18 enhances patient safety standards.,1
19,Policy 19 expands mental health services for underserved communities.,1
20,Policy 20 has been criticized for not considering diverse community needs.,0
21,Policy 21 enhances patient safety standards.,1
22,Policy 22 expands mental health services for underserved communities.,1
23,Policy 23 fails to address the mental health crisis effectively.,0
24,"Policy 24 has several gaps, leading to inadequate healthcare access.",0
25,"Policy 25 has several gaps, leading to inadequate healthcare access.",0
26,Policy 26 improves public health by increasing funding for vaccinations.,1
27,Policy 27 fails to address the mental health crisis effectively.,0
28,Policy 28 creates barriers to access for marginalized populations.,0
29,Policy 29 enhances patient safety standards.,1
30,"Policy 30 supports telehealth services, improving access for rural areas.",1
31,"Policy 31 promotes preventative care, aiming to reduce chronic disease rates.",1
32,Policy 32 fails to address the mental health crisis effectively.,0
33,"Policy 33 promotes preventative care, aiming to reduce chronic disease rates.",1
34,Policy 34 has been criticized for not considering diverse community needs.,0
35,Policy 35 fails to address the mental health crisis effectively.,0
36,Policy 36 improves public health by increasing funding for vaccinations.,1
37,"Policy 37 supports telehealth services, improving access for rural areas.",1
38,Policy 38 expands mental health services for underserved communities.,1
39,"Policy 39 supports telehealth services, improving access for rural areas.",1
40,Policy 40 improves public health by increasing funding for vaccinations.,1
41,Policy 41 creates barriers to access for marginalized populations.,0
42,"Policy 42 supports telehealth services, improving access for rural areas.",1
43,Policy 43 fails to address the mental health crisis effectively.,0
44,"Policy 44 supports telehealth services, improving access for rural areas.",1
45,Policy 45 does not provide enough resources for hospitals.,0
46,Policy 46 expands mental health services for underserved communities.,1
47,Policy 47 improves public health by increasing funding for vaccinations.,1
48,Policy 48 fails to address the mental health crisis effectively.,0
49,Policy 49 improves public health by increasing funding for vaccinations.,1
50,"Policy 50 promotes preventative care, aiming to reduce chronic disease rates.",1
51,Policy 51 has been criticized for not considering diverse community needs.,0
52,Policy 52 enhances patient safety standards.,1
53,Policy 53 expands mental health services for underserved communities.,1
54,Policy 54 creates barriers to access for marginalized populations.,0
55,Policy 55 enhances patient safety standards.,1
56,Policy 56 has been criticized for not considering diverse community needs.,0
57,Policy 57 enhances patient safety standards.,1
58,Policy 58 expands mental health services for underserved communities.,1
59,Policy 59 fails to address the mental health crisis effectively.,0
60,Policy 60 fails to address the mental health crisis effectively.,0
61,Policy 61 expands mental health services for underserved communities.,1
62,"Policy 62 has several gaps, leading to inadequate healthcare access.",0
63,Policy 63 fails to address the mental health crisis effectively.,0
64,Policy 64 does not provide enough resources for hospitals.,0
65,Policy 65 has been criticized for not considering diverse community needs.,0
66,Policy 66 expands mental health services for underserved communities.,1
67,Policy 67 creates barriers to access for marginalized populations.,0
68,Policy 68 fails to address the mental health crisis effectively.,0
69,Policy 69 fails to address the mental health crisis effectively.,0
70,"Policy 70 supports telehealth services, improving access for rural areas.",1
71,Policy 71 enhances patient safety standards.,1
72,Policy 72 improves public health by increasing funding for vaccinations.,1
73,"Policy 73 promotes preventative care, aiming to reduce chronic disease rates.",1
74,Policy 74 enhances patient safety standards.,1
75,Policy 75 creates barriers to access for marginalized populations.,0
76,"Policy 76 has several gaps, leading to inadequate healthcare access.",0
77,Policy 77 has been criticized for not considering diverse community needs.,0
78,Policy 78 enhances patient safety standards.,1
79,"Policy 79 supports telehealth services, improving access for rural areas.",1
80,Policy 80 improves public health by increasing funding for vaccinations.,1
81,"Policy 81 promotes preventative care, aiming to reduce chronic disease rates.",1
82,"Policy 82 has several gaps, leading to inadequate healthcare access.",0
83,Policy 83 fails to address the mental health crisis effectively.,0
84,"Policy 84 has several gaps, leading to inadequate healthcare access.",0
85,Policy 85 improves public health by increasing funding for vaccinations.,1
86,"Policy 86 promotes preventative care, aiming to reduce chronic disease rates.",1
87,Policy 87 does not provide enough resources for hospitals.,0
88,Policy 88 has been criticized for not considering diverse community needs.,0
89,Policy 89 improves public health by increasing funding for vaccinations.,1
90,Policy 90 creates barriers to access for marginalized populations.,0
91,Policy 91 creates barriers to access for marginalized populations.,0
92,Policy 92 expands mental health services for underserved communities.,1
93,Policy 93 fails to address the mental health crisis effectively.,0
94,Policy 94 creates barriers to access for marginalized populations.,0
95,"Policy 95 has several gaps, leading to inadequate healthcare access.",0
96,"Policy 96 promotes preventative care, aiming to reduce chronic disease rates.",1
97,Policy 97 does not provide enough resources for hospitals.,0
98,Policy 98 expands mental health services for underserved communities.,1
99,"Policy 99 promotes preventative care, aiming to reduce chronic disease rates.",1
100,"Policy 100 promotes preventative care, aiming to reduce chronic disease rates.",1
101,Policy 101 enhances patient safety standards.,1
102,"Policy 102 promotes preventative care, aiming to reduce chronic disease rates.",1
103,Policy 103 improves public health by increasing funding for vaccinations.,1
104,"Policy 104 has several gaps, leading to inadequate healthcare access.",0
105,Policy 105 has been criticized for not considering diverse community needs.,0
106,"Policy 106 promotes preventative care, aiming to reduce chronic disease rates.",1
107,Policy 107 improves public health by increasing funding for vaccinations.,1
108,Policy 108 improves public health by increasing funding for vaccinations.,1
109,"Policy 109 has several gaps, leading to inadequate healthcare access.",0
110,Policy 110 creates barriers to access for marginalized populations.,0
111,"Policy 111 has several gaps, leading to inadequate healthcare access.",0
112,Policy 112 creates barriers to access for marginalized populations.,0
113,"Policy 113 has several gaps, leading to inadequate healthcare access.",0
114,Policy 114 has been criticized for not considering diverse community needs.,0
115,Policy 115 expands mental health services for underserved communities.,1
116,"Policy 116 promotes preventative care, aiming to reduce chronic disease rates.",1
117,Policy 117 creates barriers to access for marginalized populations.,0
118,Policy 118 has been criticized for not considering diverse community needs.,0
119,Policy 119 creates barriers to access for marginalized populations.,0
120,Policy 120 fails to address the mental health crisis effectively.,0
121,Policy 121 improves public health by increasing funding for vaccinations.,1
122,"Policy 122 supports telehealth services, improving access for rural areas.",1
123,"Policy 123 has several gaps, leading to inadequate healthcare access.",0
124,Policy 124 fails to address the mental health crisis effectively.,0
125,Policy 125 expands mental health services for underserved communities.,1
126,"Policy 126 supports telehealth services, improving access for rural areas.",1
127,"Policy 127 has several gaps, leading to inadequate healthcare access.",0
128,Policy 128 creates barriers to access for marginalized populations.,0
129,Policy 129 creates barriers to access for marginalized populations.,0
130,Policy 130 does not provide enough resources for hospitals.,0
131,Policy 131 enhances patient safety standards.,1
132,Policy 132 expands mental health services for underserved communities.,1
133,Policy 133 enhances patient safety standards.,1
134,Policy 134 improves public health by increasing funding for vaccinations.,1
135,Policy 135 does not provide enough resources for hospitals.,0
136,Policy 136 creates barriers to access for marginalized populations.,0
137,"Policy 137 supports telehealth services, improving access for rural areas.",1
138,Policy 138 does not provide enough resources for hospitals.,0
139,Policy 139 enhances patient safety standards.,1
140,"Policy 140 has several gaps, leading to inadequate healthcare access.",0
141,Policy 141 improves public health by increasing funding for vaccinations.,1
142,Policy 142 improves public health by increasing funding for vaccinations.,1
143,Policy 143 expands mental health services for underserved communities.,1
144,Policy 144 has been criticized for not considering diverse community needs.,0
145,Policy 145 fails to address the mental health crisis effectively.,0
146,Policy 146 does not provide enough resources for hospitals.,0
147,"Policy 147 supports telehealth services, improving access for rural areas.",1
148,"Policy 148 promotes preventative care, aiming to reduce chronic disease rates.",1
149,Policy 149 does not provide enough resources for hospitals.,0
150,Policy 150 creates barriers to access for marginalized populations.,0
151,Policy 151 expands mental health services for underserved communities.,1
152,"Policy 152 has several gaps, leading to inadequate healthcare access.",0
153,Policy 153 creates barriers to access for marginalized populations.,0
154,Policy 154 fails to address the mental health crisis effectively.,0
155,"Policy 155 supports telehealth services, improving access for rural areas.",1
156,Policy 156 does not provide enough resources for hospitals.,0
157,Policy 157 enhances patient safety standards.,1
158,Policy 158 expands mental health services for underserved communities.,1
159,Policy 159 creates barriers to access for marginalized populations.,0
160,Policy 160 enhances patient safety standards.,1
161,Policy 161 improves public health by increasing funding for vaccinations.,1
162,Policy 162 has been criticized for not considering diverse community needs.,0
163,"Policy 163 supports telehealth services, improving access for rural areas.",1
164,Policy 164 enhances patient safety standards.,1
165,"Policy 165 supports telehealth services, improving access for rural areas.",1
166,"Policy 166 supports telehealth services, improving access for rural areas.",1
167,Policy 167 enhances patient safety standards.,1
168,Policy 168 creates barriers to access for marginalized populations.,0
169,Policy 169 expands mental health services for underserved communities.,1
170,Policy 170 does not provide enough resources for hospitals.,0
171,Policy 171 fails to address the mental health crisis effectively.,0
172,"Policy 172 has several gaps, leading to inadequate healthcare access.",0
173,Policy 173 creates barriers to access for marginalized populations.,0
174,Policy 174 enhances patient safety standards.,1
175,Policy 175 improves public health by increasing funding for vaccinations.,1
176,"Policy 176 has several gaps, leading to inadequate healthcare access.",0
177,"Policy 177 has several gaps, leading to inadequate healthcare access.",0
178,"Policy 178 supports telehealth services, improving access for rural areas.",1
179,"Policy 179 supports telehealth services, improving access for rural areas.",1
180,Policy 180 fails to address the mental health crisis effectively.,0
181,Policy 181 fails to address the mental health crisis effectively.,0
182,"Policy 182 has several gaps, leading to inadequate healthcare access.",0
183,Policy 183 fails to address the mental health crisis effectively.,0
184,Policy 184 does not provide enough resources for hospitals.,0
185,"Policy 185 promotes preventative care, aiming to reduce chronic disease rates.",1
186,"Policy 186 supports telehealth services, improving access for rural areas.",1
187,Policy 187 improves public health by increasing funding for vaccinations.,1
188,"Policy 188 supports telehealth services, improving access for rural areas.",1
189,"Policy 189 promotes preventative care, aiming to reduce chronic disease rates.",1
190,"Policy 190 has several gaps, leading to inadequate healthcare access.",0
191,Policy 191 does not provide enough resources for hospitals.,0
192,Policy 192 fails to address the mental health crisis effectively.,0
193,"Policy 193 supports telehealth services, improving access for rural areas.",1
194,Policy 194 does not provide enough resources for hospitals.,0
195,Policy 195 expands mental health services for underserved communities.,1
196,"Policy 196 has several gaps, leading to inadequate healthcare access.",0
197,"Policy 197 promotes preventative care, aiming to reduce chronic disease rates.",1
198,Policy 198 does not provide enough resources for hospitals.,0
199,Policy 199 has been criticized for not considering diverse community needs.,0
200,Policy 200 does not provide enough resources for hospitals.,0
201,Policy 201 improves public health by increasing funding for vaccinations.,1
202,Policy 202 expands mental health services for underserved communities.,1
203,Policy 203 expands mental health services for underserved communities.,1
204,Policy 204 fails to address the mental health crisis effectively.,0
205,Policy 205 fails to address the mental health crisis effectively.,0
206,"Policy 206 supports telehealth services, improving access for rural areas.",1
207,Policy 207 fails to address the mental health crisis effectively.,0
208,Policy 208 expands mental health services for underserved communities.,1
209,Policy 209 enhances patient safety standards.,1
210,Policy 210 expands mental health services for underserved communities.,1
211,"Policy 211 promotes preventative care, aiming to reduce chronic disease rates.",1
212,Policy 212 does not provide enough resources for hospitals.,0
213,"Policy 213 supports telehealth services, improving access for rural areas.",1
214,Policy 214 improves public health by increasing funding for vaccinations.,1
215,Policy 215 expands mental health services for underserved communities.,1
216,"Policy 216 has several gaps, leading to inadequate healthcare access.",0
217,"Policy 217 supports telehealth services, improving access for rural areas.",1
218,Policy 218 does not provide enough resources for hospitals.,0
219,Policy 219 improves public health by increasing funding for vaccinations.,1
220,Policy 220 enhances patient safety standards.,1
221,Policy 221 creates barriers to access for marginalized populations.,0
222,Policy 222 has been criticized for not considering diverse community needs.,0
223,"Policy 223 promotes preventative care, aiming to reduce chronic disease rates.",1
224,Policy 224 expands mental health services for underserved communities.,1
225,"Policy 225 promotes preventative care, aiming to reduce chronic disease rates.",1
226,"Policy 226 supports telehealth services, improving access for rural areas.",1
227,Policy 227 does not provide enough resources for hospitals.,0
228,Policy 228 expands mental health services for underserved communities.,1
229,Policy 229 fails to address the mental health crisis effectively.,0
230,Policy 230 improves public health by increasing funding for vaccinations.,1
231,Policy 231 has been criticized for not considering diverse community needs.,0
232,Policy 232 fails to address the mental health crisis effectively.,0
233,"Policy 233 supports telehealth services, improving access for rural areas.",1
234,Policy 234 improves public health by increasing funding for vaccinations.,1
235,"Policy 235 has several gaps, leading to inadequate healthcare access.",0
236,Policy 236 enhances patient safety standards.,1
237,Policy 237 creates barriers to access for marginalized populations.,0
238,"Policy 238 has several gaps, leading to inadequate healthcare access.",0
239,Policy 239 expands mental health services for underserved communities.,1
240,Policy 240 has been criticized for not considering diverse community needs.,0
241,"Policy 241 promotes preventative care, aiming to reduce chronic disease rates.",1
242,Policy 242 fails to address the mental health crisis effectively.,0
243,Policy 243 creates barriers to access for marginalized populations.,0
244,Policy 244 fails to address the mental health crisis effectively.,0
245,"Policy 245 promotes preventative care, aiming to reduce chronic disease rates.",1
246,"Policy 246 supports telehealth services, improving access for rural areas.",1
247,Policy 247 does not provide enough resources for hospitals.,0
248,Policy 248 fails to address the mental health crisis effectively.,0
249,Policy 249 fails to address the mental health crisis effectively.,0
250,Policy 250 improves public health by increasing funding for vaccinations.,1
251,Policy 251 enhances patient safety standards.,1
252,Policy 252 enhances patient safety standards.,1
253,Policy 253 improves public health by increasing funding for vaccinations.,1
254,"Policy 254 promotes preventative care, aiming to reduce chronic disease rates.",1
255,Policy 255 enhances patient safety standards.,1
256,"Policy 256 has several gaps, leading to inadequate healthcare access.",0
257,Policy 257 improves public health by increasing funding for vaccinations.,1
258,Policy 258 creates barriers to access for marginalized populations.,0
259,Policy 259 has been criticized for not considering diverse community needs.,0
260,Policy 260 creates barriers to access for marginalized populations.,0
261,"Policy 261 has several gaps, leading to inadequate healthcare access.",0
262,Policy 262 enhances patient safety standards.,1
263,Policy 263 creates barriers to access for marginalized populations.,0
264,Policy 264 does not provide enough resources for hospitals.,0
265,"Policy 265 has several gaps, leading to inadequate healthcare access.",0
266,"Policy 266 has several gaps, leading to inadequate healthcare access.",0
267,Policy 267 expands mental health services for underserved communities.,1
268,Policy 268 expands mental health services for underserved communities.,1
269,Policy 269 does not provide enough resources for hospitals.,0
270,"Policy 270 has several gaps, leading to inadequate healthcare access.",0
271,Policy 271 improves public health by increasing funding for vaccinations.,1
272,Policy 272 creates barriers to access for marginalized populations.,0
273,"Policy 273 has several gaps, leading to inadequate healthcare access.",0
274,Policy 274 improves public health by increasing funding for vaccinations.,1
275,Policy 275 expands mental health services for underserved communities.,1
276,Policy 276 expands mental health services for underserved communities.,1
277,Policy 277 has been criticized for not considering diverse community needs.,0
278,"Policy 278 has several gaps, leading to inadequate healthcare access.",0
279,Policy 279 fails to address the mental health crisis effectively.,0
280,"Policy 280 promotes preventative care, aiming to reduce chronic disease rates.",1
281,Policy 281 has been criticized for not considering diverse community needs.,0
282,"Policy 282 has several gaps, leading to inadequate healthcare access.",0
283,"Policy 283 promotes preventative care, aiming to reduce chronic disease rates.",1
284,Policy 284 improves public health by increasing funding for vaccinations.,1
285,Policy 285 enhances patient safety standards.,1
286,"Policy 286 has several gaps, leading to inadequate healthcare access.",0
287,Policy 287 creates barriers to access for marginalized populations.,0
288,Policy 288 enhances patient safety standards.,1
289,Policy 289 has been criticized for not considering diverse community needs.,0
290,Policy 290 enhances patient safety standards.,1
291,Policy 291 expands mental health services for underserved communities.,1
292,"Policy 292 supports telehealth services, improving access for rural areas.",1
293,Policy 293 does not provide enough resources for hospitals.,0
294,"Policy 294 supports telehealth services, improving access for rural areas.",1
295,Policy 295 fails to address the mental health crisis effectively.,0
296,Policy 296 has been criticized for not considering diverse community needs.,0
297,Policy 297 does not provide enough resources for hospitals.,0
298,Policy 298 improves public health by increasing funding for vaccinations.,1
299,"Policy 299 has several gaps, leading to inadequate healthcare access.",0
300,Policy 300 creates barriers to access for marginalized populations.,0
301,Policy 301 fails to address the mental health crisis effectively.,0
302,Policy 302 expands mental health services for underserved communities.,1
303,"Policy 303 has several gaps, leading to inadequate healthcare access.",0
304,Policy 304 creates barriers to access for marginalized populations.,0
305,"Policy 305 promotes preventative care, aiming to reduce chronic disease rates.",1
306,"Policy 306 promotes preventative care, aiming to reduce chronic disease rates.",1
307,Policy 307 enhances patient safety standards.,1
308,Policy 308 improves public health by increasing funding for vaccinations.,1
309,Policy 309 improves public health by increasing funding for vaccinations.,1
310,"Policy 310 supports telehealth services, improving access for rural areas.",1
311,Policy 311 does not provide enough resources for hospitals.,0
312,"Policy 312 supports telehealth services, improving access for rural areas.",1
313,Policy 313 improves public health by increasing funding for vaccinations.,1
